cutoff,start,end,startT,endT,dur,xpos,ypos,flankdataloss,fracinterped,RMSxy,BCEA,fixRangeX,fixRangeY,participant
0.9535217057796384,22582,22671,89583.3,89943.3,360.0,511.25,181.0,0.0,0.0,0.7620941740960683,1.3121377727658987,2.1271819238884775,2.3024991154177474,134_leap_voe_gaze
0.9535217057796384,22678,23141,89967.3,91823.3,1856.0,515.0,337.75,0.0,0.004310344827586207,0.9792250777293872,2.4707381547365803,3.16739726029548,5.586774503399408,134_leap_voe_gaze
0.9535217057796384,23147,23241,91843.3,92223.3,380.0,362.0,256.25,0.0,0.010526315789473684,0.896032871984731,1.536008331855916,3.0505191326093,2.863514128311412,134_leap_voe_gaze
0.9535217057796384,23252,23293,92263.3,92431.3,168.0,581.0,396.5,0.0,0.023809523809523808,1.3928818287495812,3.115448234311904,2.1739331749629494,4.394617601000371,134_leap_voe_gaze
0.9535217057796384,23296,23634,92439.3,93795.3,1356.0,541.0,347.5,0.0,0.0,1.0330916916508772,1.9466649476544575,3.7050366476519083,4.347866349925899,134_leap_voe_gaze
0.9535217057796384,23715,23740,94115.3,94219.3,104.0,1436.75,387.5,1.0,0.0,0.8912154585478794,1.2361240691815465,1.7531719152927012,1.647981600375139,134_leap_voe_gaze
0.9535217057796384,23750,23793,94255.3,94431.3,176.0,826.0,540.0,0.0,0.20454545454545456,1.294858233395504,2.754391152376527,2.2323722388060396,3.6465975838088185,134_leap_voe_gaze
0.9535217057796384,23803,23988,94467.3,95211.3,744.0,542.0,375.25,1.0,0.03225806451612903,1.361527176986804,3.5357347435194955,4.067358843479067,4.792003235133383,134_leap_voe_gaze
0.9535217057796384,23999,24170,95251.3,95939.3,688.0,1442.0,651.0,0.0,0.13372093023255813,1.8438302686441006,5.853063513657871,3.9037294647184146,6.638677652575028,134_leap_voe_gaze
0.9535217057796384,24181,24193,95979.3,96031.3,52.0,1384.5,1129.0,0.0,0.5384615384615384,0.9023112573790987,2.3696343353987634,1.566166910994813,1.729796289755465,134_leap_voe_gaze
0.9535217057796384,24519,24682,97331.3,97987.3,656.0,534.0,332.5,0.0,0.006097560975609756,0.8966931105834982,1.8901518731927613,2.5128797452528717,3.062206945377918,134_leap_voe_gaze
0.9535217057796384,24688,24862,98007.3,98707.3,700.0,438.0,290.0,0.0,0.0,0.9401366422057382,1.9316834245114674,2.8167628772369397,5.680277005548351,134_leap_voe_gaze
